2026-58843	2026-08-03 08:00:00	In
2026-58843	2026-08-03 12:00:00	Out
2026-58843	2026-08-03 13:00:00	In
2026-58843	2026-08-03 17:00:00	Out
2026-44182	2026-08-03 08:00:00	In
2026-44182	2026-08-03 12:00:00	Out
2026-44182	2026-08-03 13:00:00	In
2026-44182	2026-08-03 17:00:00	Out
2026-35396	2026-08-03 08:00:00	In
2026-35396	2026-08-03 12:00:00	Out
2026-35396	2026-08-03 13:00:00	In
2026-35396	2026-08-03 17:00:00	Out
2026-31821	2026-08-03 08:00:00	In
2026-31821	2026-08-03 12:00:00	Out
2026-31821	2026-08-03 13:00:00	In
2026-31821	2026-08-03 17:00:00	Out
2026-37458	2026-08-03 08:00:00	In
2026-37458	2026-08-03 12:00:00	Out
2026-37458	2026-08-03 13:00:00	In
2026-37458	2026-08-03 17:00:00	Out
2026-58843	2026-08-04 08:00:00	In
2026-58843	2026-08-04 12:00:00	Out
2026-58843	2026-08-04 13:00:00	In
2026-58843	2026-08-04 17:00:00	Out
2026-44182	2026-08-04 08:00:00	In
2026-44182	2026-08-04 12:00:00	Out
2026-44182	2026-08-04 13:00:00	In
2026-44182	2026-08-04 17:00:00	Out
2026-35396	2026-08-04 08:00:00	In
2026-35396	2026-08-04 12:00:00	Out
2026-35396	2026-08-04 13:00:00	In
2026-35396	2026-08-04 17:00:00	Out
2026-31821	2026-08-04 08:00:00	In
2026-31821	2026-08-04 12:00:00	Out
2026-31821	2026-08-04 13:00:00	In
2026-31821	2026-08-04 17:00:00	Out
2026-37458	2026-08-04 08:00:00	In
2026-37458	2026-08-04 12:00:00	Out
2026-37458	2026-08-04 13:00:00	In
2026-37458	2026-08-04 17:00:00	Out
